App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
Quick Calendar,Terrible experience,Positive,0.29,0.62
Daily Notes,Terrible experience,Neutral,-0.19,0.23
Fast Photo,Terrible experience,Positive,-0.14,0.38
Easy Fitness,Loved it,Neutral,0.36,0.14
Easy Fitness,Not bad,Positive,-0.83,0.68
Pro Music,Great app!,Neutral,-0.57,0.1
Smart Tasks,Great app!,Positive,0.31,0.94
Easy Fitness,Great app!,Positive,0.29,0.93
Happy Music,Could be better,Positive,0.56,0.76
Quick Recipes,Great app!,Negative,0.32,0.88
Easy Fitness,Loved it,Positive,-0.4,0.8
Happy Recipes,Loved it,Negative,0.02,0.5
Life Made WI-FI Touchscreen Photo Frame,Terrible experience,Positive,0.41,0.32
Fast Photo,Not bad,Positive,-0.43,0.6
Daily Notes,Not bad,Neutral,0.69,0.84
Go Music,Loved it,Negative,0.07,0.79
Pro Music,Great app!,Positive,0.69,0.9
Happy Recipes,Loved it,Neutral,0.85,0.65
Easy Calendar,Not bad,Negative,-0.82,0.27
Super Recipes,Not bad,Negative,0.71,0.68
Pro Music,Great app!,Neutral,-1.0,0.18
Easy Scanner,Loved it,Negative,0.16,0.1
Happy Translate,Not bad,Negative,0.42,0.71
Happy Photo,Great app!,Neutral,0.04,0.05
Daily Fitness,Not bad,Positive,0.19,0.52
Easy Scanner,Could be better,Positive,0.33,0.77
Happy Music,Terrible experience,Positive,-0.8,0.37
Easy Scanner,Loved it,Neutral,0.82,0.04
Fast Photo,Not bad,Positive,-0.51,0.15
Life Made WI-FI Touchscreen Photo Frame,Loved it,Negative,0.6,0.65
Go Tasks,Terrible experience,Neutral,0.1,0.69
Super Recipes,Great app!,Negative,-0.94,0.4
Super Scanner,Great app!,Positive,-0.41,0.81
Life Made WI-FI Touchscreen Photo Frame,Great app!,Positive,0.51,0.77
Happy Music,Could be better,Negative,-0.25,0.88
Super Recipes,Loved it,Positive,0.48,0.51
Happy Translate,Terrible experience,Positive,0.67,0.65
Happy Music,Could be better,Negative,0.53,0.77
Easy Music,Great app!,Negative,1.0,0.49
Go Tasks,Could be better,Positive,0.3,0.67
Daily Fitness,Not bad,Negative,0.94,0.47
Happy Music,Terrible experience,Positive,-0.6,0.28
My Calendar,Terrible experience,Neutral,-0.92,0.99
Pro Notes,Could be better,Negative,-0.9,0.5
Easy Fitness,Could be better,Neutral,-0.81,0.44
Smart Translate,Terrible experience,Negative,0.6,0.07
Easy Scanner,Great app!,Neutral,0.51,0.75
Go Music,Not bad,Neutral,0.33,0.88
Easy Fitness,Terrible experience,Negative,0.81,0.4
Easy Scanner,Terrible experience,Positive,0.95,0.05
